Date,AGG,EEM,EFA,GLD,PDBC,SPY,TLT,VNQ
2019-01-03,0.004128408017786134,-0.01813083690570194,-0.009034998222412494,0.009066170423806419,0.0072751606249181755,-0.023862755950592174,0.011379546077913583,0.006991126517631452
2019-01-04,-0.0029906381172102314,0.032249853341385304,0.03062076801972724,-0.00808623590052937,0.01444510453525849,0.03349563626828278,-0.01157539094239135,0.011706891801702923
2019-01-07,-0.0016863696682263285,0.0022673526409993094,0.0038393267636578354,0.003458482876331992,0.007766987172219908,0.007884917268800029,-0.002948149722932114,0.00982236312497764
2019-01-08,-0.000751765814072991,0.00377078555797139,0.00648474230613405,-0.00270804061547536,0.008349417177637708,0.009395395467029388,-0.002628377734236742,0.020652911415398156
2019-01-09,0.0008458640046418164,0.017781095836761684,0.01123427673200883,0.006418158373500793,0.0210191905308037,0.004673319204889115,-0.001564513445458604,-0.0014363277329288993
2019-01-10,-0.001126393956728422,0.007135855736192909,0.003920744736644721,-0.005886691481276518,-0.0012476004591683854,0.0035274642243030563,-0.006433726411544716,0.013596660557162688
2019-01-11,0.0014099342431947992,-0.004886414870632572,-0.0068349288507058015,0.001727170986037363,-0.0037478344513878215,0.0003864882498634259,0.0039016297081055917,0.002837744949196086
2019-01-14,-0.001407949127507302,-0.008347772637565254,-0.004587694520333141,0.002380897199235621,-0.010658153453280472,-0.006101146436645721,-0.0037210300068662994,-0.0033438042090212505
2019-01-15,0.0001875604659005159,0.0069324876955640935,0.005267399150862495,-0.0017200351443329431,0.008871803563601732,0.011460912385073074,-0.0036520959384837015,0.009549512909839297
2019-01-16,0.0008463859875862401,0.01229407897260737,0.0027838506864914514,0.003199863787636481,0.006281584646763427,0.002419932053441709,0.0009998979024397059,0.007030463826996458
2019-01-17,-0.000751765814072991,0.004372125987098796,0.003592447838688839,-0.001308546962521917,0.0,0.007586665424593297,0.0002492355419903003,0.00482346175772963
